47/2999 4,8G 0,0469 0,01521 0,00399 0,06609 53 416 0,7153 0,7765 0,7798 0,3159 0,04243 0,01193 0,001422
48/2999 4,8G 0,04605 0,01521 0,003319 0,06458 83 416 0,6308 0,694 0,7073 0,2734 0,04699 0,01425 0,001663
49/2999 4,8G 0,04796 0,01529 0,003276 0,06653 76 416 0,6909 0,7726 0,7136 0,2864 0,04568 0,01301 0,001718
50/2999 4,8G 0,04666 0,01551 0,003661 0,06583 67 416 0,7682 0,7118 0,7409 0,308 0,04643 0,01219 0,001419
51/2999 4,8G 0,04615 0,01598 0,003028 0,06516 69 416 0,7369 0,7183 0,742 0,2668 0,04652 0,01318 0,0014
52/2999 4,8G 0,04677 0,01589 0,003621 0,06628 79 416 0,7263 0,6538 0,7177 0,3146 0,0452 0,01292 0,002958
53/2999 4,8G 0,0447 0,01587 0,002927 0,06349 68 416 0,7089 0,6948 0,743 0,319 0,04661 0,01307 0,002425
54/2999 4,8G 0,04528 0,01542 0,002804 0,06351 85 416 0,5559 0,804 0,7232 0,3333 0,04472 0,01281 0,001784
55/2999 4,8G 0,04578 0,01535 0,003634 0,06477 82 416 0,7371 0,7008 0,734 0,3418 0,04477 0,01304 0,001861
56/2999 4,8G 0,04634 0,01539 0,003524 0,06525 76 416 0,7603 0,7041 0,7832 0,3401 0,04416 0,01192 0,001589
57/2999 4,8G 0,04553 0,01487 0,003014 0,06341 69 416 0,7324 0,7237 0,738 0,3443 0,04146 0,01247 0,001781
58/2999 4,8G 0,0438 0,01549 0,003205 0,0625 73 416 0,7649 0,7521 0,7629 0,3656 0,04257 0,01245 0,001403
59/2999 4,8G 0,04455 0,01482 0,003145 0,06252 62 416 0,7573 0,7484 0,7779 0,3503 0,04417 0,01239 0,001707
60/2999 4,8G 0,04384 0,01547 0,002905 0,06222 63 416 0,7694 0,7279 0,7809 0,3067 0,04461 0,01312 0,003522
61/2999 4,8G 0,04361 0,01536 0,003527 0,06249 84 416 0,5851 0,7114 0,6652 0,255 0,04918 0,01315 0,001945
62/2999 4,8G 0,04382 0,01519 0,003085 0,0621 63 416 0,694 0,6458 0,7138 0,2938 0,044 0,01216 0,001225
63/2999 4,8G 0,04447 0,01577 0,002984 0,06322 75 416 0,7453 0,6923 0,7593 0,3141 0,04597 0,01202 0,001272
64/2999 4,8G 0,04279 0,01494 0,002996 0,06072 74 416 0,738 0,7193 0,7132 0,2817 0,04586 0,01263 0,001938
65/2999 4,8G 0,04376 0,01559 0,003176 0,06252 70 416 0,6595 0,6737 0,6826 0,286 0,04414 0,01251 0,001669
66/2999 4,8G 0,04607 0,01518 0,003115 0,06436 72 416 0,8148 0,7087 0,7777 0,32 0,04457 0,01315 0,001655
67/2999 4,8G 0,04282 0,01497 0,003116 0,0609 63 416 0,7203 0,7476 0,7245 0,2859 0,0414 0,0131 0,001524
68/2999 4,8G 0,04274 0,01472 0,002312 0,05977 74 416 0,6717 0,7887 0,7729 0,3436 0,04242 0,01259 0,001388
69/2999 4,8G 0,04187 0,01452 0,002744 0,05914 63 416 0,6693 0,7363 0,7003 0,2938 0,04471 0,01235 0,001305
70/2999 4,8G 0,046 0,0147 0,003381 0,06408 53 416 0,7755 0,6694 0,7321 0,2857 0,04665 0,01238 0,00214
71/2999 4,8G 0,04324 0,01577 0,003609 0,06262 78 416 0,6707 0,8349 0,7883 0,3236 0,04434 0,01377 0,001764
72/2999 4,8G 0,04383 0,01561 0,002554 0,06199 70 416 0,6482 0,7225 0,6972 0,262 0,04575 0,01259 0,001455
73/2999 4,8G 0,04442 0,01536 0,00299 0,06276 86 416 0,6595 0,6291 0,6758 0,282 0,04583 0,01303 0,002939
74/2999 4,8G 0,04117 0,01463 0,002657 0,05845 63 416 0,8151 0,7073 0,7607 0,2968 0,04668 0,01279 0,001703
75/2999 4,8G 0,0419 0,01442 0,002508 0,05883 53 416 0,7174 0,7124 0,715 0,3265 0,04736 0,01216 0,001064
76/2999 4,8G 0,04303 0,01498 0,002522 0,06053 71 416 0,6209 0,7236 0,7 0,297 0,04374 0,01238 0,001095
77/2999 4,8G 0,04217 0,01526 0,002616 0,06004 66 416 0,6943 0,6849 0,7239 0,253 0,04858 0,01325 0,00218
78/2999 4,8G 0,0404 0,01457 0,002756 0,05773 66 416 0,6206 0,6558 0,6582 0,2812 0,04508 0,0136 0,002117
79/2999 4,8G 0,04246 0,01517 0,002481 0,06012 97 416 0,7063 0,7158 0,7415 0,2984 0,04518 0,01273 0,001784
80/2999 4,8G 0,04355 0,01454 0,00299 0,06108 74 416 0,5855 0,6658 0,627 0,2403 0,04439 0,01357 0,003386
81/2999 4,8G 0,0411 0,0142 0,002809 0,05812 68 416 0,741 0,6417 0,7224 0,3225 0,04463 0,01316 0,001403
